Price,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
Ticker,END=2025-02-05,INTERVAL='1D',START=2026-02-05,END=2025-02-05,INTERVAL='1D',START=2026-02-05,^BVSP,END=2025-02-05,INTERVAL='1D',START=2026-02-05,^BVSP,END=2025-02-05,INTERVAL='1D',START=2026-02-05,^BVSP,END=2025-02-05,INTERVAL='1D',START=2026-02-05,^BVSP,END=2025-02-05,INTERVAL='1D',START=2026-02-05,^BVSP
Date,,,,,,,,,,,,,,,,,,,,,,,
2026-06-30,,,,,,,172024.0,,,,173205.0,,,,170539.0,,,,173205.0,,,,7692000
2026-07-01,,,,,,,171689.0,,,,172098.0,,,,169666.0,,,,172017.0,,,,7659700
2026-07-02,,,,,,,172788.0,,,,174426.0,,,,171697.0,,,,171698.0,,,,6513500
2026-07-03,,,,,,,174266.0,,,,174664.0,,,,172790.0,,,,172790.0,,,,2949700
2026-07-06,,,,,,,172448.0,,,,174058.0,,,,171622.0,,,,174058.0,,,,5740300
2026-07-07,,,,,,,172021.0,,,,173544.0,,,,171417.0,,,,172439.0,,,,6763100
2026-07-08,,,,,,,170654.0,,,,172018.0,,,,169972.0,,,,172018.0,,,,7237000
2026-07-09,,,,,,,172742.0,,,,172933.0,,,,170653.0,,,,170655.0,,,,6832100
2026-07-10,,,,,,,177866.0,,,,177866.0,,,,172761.0,,,,172761.0,,,,8425700
2026-07-13,,,,,,,175739.0,,,,178154.0,,,,175567.0,,,,177868.0,,,,6119200
2026-07-14,,,,,,,176641.0,,,,177179.0,,,,175743.0,,,,175743.0,,,,7258300
2026-07-15,,,,,,,176011.0,,,,176663.0,,,,175288.0,,,,176663.0,,,,7072400
2026-07-16,,,,,,,173825.0,,,,176011.0,,,,173537.0,,,,176010.0,,,,6135900
2026-07-17,,,,,,,173714.0,,,,174505.0,,,,173285.0,,,,173825.0,,,,7299200
2026-07-20,,,,,,,173371.0,,,,174311.0,,,,173222.0,,,,173714.0,,,,5028800
2026-07-21,,,,,,,173326.0,,,,173720.0,,,,172219.0,,,,173373.0,,,,5858100
2026-07-22,,,,,,,177548.0,,,,177641.0,,,,173328.0,,,,173331.0,,,,7435200
2026-07-23,,,,,,,176724.0,,,,177896.0,,,,176293.0,,,,177546.0,,,,6346800
2026-07-24,,,,,,,174042.0,,,,176720.0,,,,174042.0,,,,176720.0,,,,5418400
2026-07-27,,,,,,,175335.0,,,,175555.0,,,,174048.0,,,,174048.0,,,,5839400
2026-07-28,,,,,,,176565.0,,,,178539.0,,,,175326.0,,,,175326.0,,,,6741100
2026-07-29,,,,,,,173885.0,,,,176564.0,,,,173885.0,,,,176564.0,,,,7338700
2026-07-30,,,,,,,177158.859375,,,,0.0,,,,0.0,,,,0.0,,,,0
